time,m1,m2,m3,p1,p2,p3
0.99,15,15,18,9,15,25
0.995,15,15,18,11,16,27
1,16,14,18,10,16,28
1.005,16,14,18,10,16,29
1.01,16,14,18,10,16,28
1.015,16,14,18,10,16,28
1.02,17,14,18,10,15,27
1.025,17,14,18,10,14,27
1.03,17,14,18,10,15,25
1.035,17,14,18,10,16,24
1.04,17,14,18,10,15,24
1.045,16,13,18,10,15,23
1.05,16,13,18,10,15,22
1.055,16,13,18,10,14,22
1.06,16,13,17,9,14,22
1.065,16,13,17,7,13,22
1.07,16,13,17,7,14,20
1.075,15,13,17,7,14,22
1.08,15,13,17,8,14,20
1.085,15,13,17,8,14,19
1.09,15,13,17,10,14,19
1.095,15,13,17,10,14,20
1.1,16,13,17,10,13,20
1.105,16,12,16,10,13,20
1.11,15,12,15,11,13,20
1.115,15,12,15,11,13,21
1.12,15,12,15,10,13,22
1.125,15,12,15,10,14,21
1.13,15,12,14,10,14,21
1.135,14,12,14,10,14,21
1.14,13,12,14,10,13,21
1.145,13,12,14,8,13,22
1.15,13,12,13,8,13,23
1.155,13,13,13,8,13,23
1.16,13,13,13,8,14,22
1.165,13,13,14,7,13,20
1.17,13,13,14,8,12,19
1.175,13,13,14,9,11,19
1.18,13,13,14,10,9,18
1.185,13,13,14,10,9,17
1.19,13,13,14,10,9,18
1.195,13,13,14,11,9,18
1.2,13,13,14,12,9,17
1.205,13,13,14,12,9,16
1.21,13,12,14,11,9,16
1.215,13,12,14,11,9,18
1.22,13,12,14,11,9,18
1.225,13,12,14,11,9,18
1.23,13,11,14,11,9,18
1.235,13,11,14,11,9,18
1.24,13,11,14,11,9,18
1.245,13,11,14,11,10,18
1.25,13,11,13,11,11,17
1.255,13,11,13,11,10,17
1.26,13,11,13,10,10,19
1.265,13,11,13,10,10,19
1.27,13,11,13,10,11,19
1.275,13,11,13,10,11,19
1.28,13,12,13,11,11,18
1.285,13,12,13,12,11,19
1.29,13,12,12,12,11,18
1.295,13,12,12,12,11,18
1.3,13,12,12,12,12,19
1.305,13,12,12,12,12,19
1.31,15,12,12,12,11,20
1.315,15,12,12,12,11,19
1.32,15,12,12,12,10,19
1.325,15,12,12,13,10,21
1.33,14,12,12,13,10,19
1.335,14,12,12,12,11,19
1.34,14,12,12,12,11,19
1.345,14,12,12,12,11,17
1.35,14,12,13,13,12,18
1.355,14,12,13,13,13,17
1.36,14,12,13,12,12,18
1.365,14,12,13,12,12,17
1.37,14,12,13,11,12,17
1.375,14,12,13,12,14,17
1.38,14,13,13,11,12,18
1.385,13,13,13,12,13,18
1.39,13,13,13,12,13,18
1.395,12,13,13,12,12,18
1.4,12,13,13,12,11,19
1.405,12,12,13,12,10,19
1.41,12,12,13,12,10,18
1.415,12,12,13,12,10,18
1.42,12,12,13,12,10,18
1.425,12,12,13,12,9,18
1.43,12,12,12,11,9,18
1.435,12,12,12,12,9,18
1.44,12,12,12,12,10,19
1.445,12,12,12,12,9,19
1.45,12,13,12,11,8,20
1.455,12,13,12,11,8,20
1.46,12,13,12,10,8,19
1.465,13,13,12,10,8,20
1.47,13,13,12,10,8,20
1.475,13,13,12,10,8,20
1.48,13,13,12,10,9,19
1.485,13,13,12,10,8,18
1.49,13,14,12,10,8,17
1.495,13,14,11,9,8,17
1.5,13,14,11,9,8,16
1.505,13,14,11,8,8,15
1.51,13,14,11,6,9,16
1.515,13,14,11,6,12,18
1.52,13,13,11,6,12,18
1.525,13,13,11,6,12,19
1.53,13,12,11,6,11,19
1.535,13,12,11,6,11,20
1.54,14,12,11,6,10,20
1.545,14,13,11,6,10,19
1.55,13,13,11,6,10,19
1.555,13,13,11,6,9,17
1.56,13,13,11,6,10,17
1.565,13,13,11,6,8,17
1.57,13,13,11,6,9,18
1.575,13,13,11,7,10,18
1.58,13,13,10,8,11,17
1.585,13,12,10,8,11,18
1.59,13,12,10,8,12,18
1.595,13,12,10,7,12,18
1.6,13,12,10,7,12,17
1.605,11,12,10,7,13,17
1.61,11,12,10,7,13,17
1.615,11,12,10,7,13,17
1.62,12,12,10,7,13,17
1.625,12,12,10,7,13,15
1.63,12,12,10,6,15,14
1.635,12,12,10,9,15,14
1.64,12,12,10,8,15,13
1.645,12,12,10,9,15,12
1.65,12,12,10,9,15,12
1.655,12,12,10,8,15,13
1.66,12,12,10,8,15,13
1.665,13,12,10,9,15,11
1.67,13,12,10,9,15,11
1.675,13,12,10,10,14,11
1.68,13,12,10,10,14,10
1.685,14,12,10,11,14,11
1.69,14,12,10,10,13,11
1.695,13,12,9,10,13,12
1.7,13,12,9,9,13,11
1.705,13,12,9,11,12,10
1.71,13,12,9,14,13,10
1.715,13,12,9,13,13,10
1.72,13,12,9,13,13,9
1.725,13,12,9,12,13,10
1.73,13,11,9,12,13,10
1.735,13,11,9,11,11,10
1.74,13,11,9,10,12,10
1.745,13,11,9,10,12,10
1.75,13,11,9,10,12,10
1.755,13,11,10,11,13,12
1.76,13,11,10,9,14,11
1.765,13,11,10,9,15,12
1.77,13,11,10,10,15,12
1.775,13,11,10,9,14,11
1.78,13,11,10,9,14,11
1.785,13,11,10,9,14,12
1.79,13,11,10,8,14,12
1.795,14,11,10,8,14,13
1.8,15,11,10,8,14,13
1.805,15,11,10,8,14,12
1.81,15,11,10,8,14,12
1.815,15,11,10,10,13,11
1.82,14,11,10,9,14,12
1.825,14,11,10,8,14,13
1.83,14,11,10,8,15,14
1.835,14,11,10,7,15,14
1.84,13,12,10,7,15,14
1.845,13,12,10,8,13,15
1.85,13,12,9,10,13,15
1.855,13,12,9,10,13,14
1.86,13,12,9,10,9,14
1.865,13,12,9,10,9,14
1.87,13,12,9,9,9,14
1.875,13,12,9,9,10,14
1.88,13,12,9,9,10,14
1.885,13,12,9,9,11,13
1.89,13,12,9,9,11,12
1.895,13,12,9,9,10,12
1.9,13,12,9,9,10,13
1.905,13,12,9,10,9,13
1.91,13,12,9,10,10,13
1.915,13,12,9,10,9,13
1.92,13,12,9,10,9,13
1.925,13,12,9,11,9,12
1.93,13,13,9,11,9,11
1.935,13,13,9,11,9,11
1.94,13,13,9,11,8,11
1.945,13,13,9,10,8,12
1.95,13,13,9,10,8,12
1.955,13,13,9,10,9,11
1.96,13,14,9,8,9,11
1.965,13,14,9,9,9,10
1.97,12,14,9,10,8,10
1.975,12,14,10,10,8,10
1.98,12,14,10,10,7,10
1.985,12,14,9,10,7,10
1.99,12,14,9,10,7,10
1.995,12,14,9,10,7,9
2,12,15,9,10,6,9
2.005,11,14,10,10,6,10
2.01,11,14,10,9,6,10
2.015,11,14,10,9,8,10
2.02,11,14,10,9,8,11
2.025,11,14,10,9,8,10
2.03,11,14,10,9,8,10
2.035,11,14,10,8,9,9
2.04,11,14,10,9,9,8
2.045,11,14,10,9,9,8
2.05,11,14,10,10,9,8
2.055,11,14,10,12,10,7
2.06,11,14,10,13,10,8
2.065,10,14,10,14,11,9
2.07,10,14,9,14,11,10
2.075,10,14,9,15,11,10
2.08,10,14,9,14,11,10
2.085,10,14,9,14,10,10
2.09,10,14,9,14,10,10
2.095,10,14,9,14,10,8
2.1,9,14,9,14,10,9
2.105,9,14,9,14,10,9
2.11,9,14,9,14,11,9
2.115,9,14,9,16,11,11
2.12,9,14,9,16,12,12
2.125,9,14,9,16,12,12
2.13,9,14,10,17,12,11
2.135,9,14,10,17,12,10
2.14,9,14,10,17,12,10
2.145,9,14,10,17,12,10
2.15,9,14,10,16,12,10
